ethnicity,locus,allele,frequency,n_alleles
Chinese,HLA-C,03:77,1.1261261261261261e-05,88800
Chinese,HLA-C,03:119,1.1261261261261261e-05,88800
Chinese,HLA-C,03:128,1.1261261261261261e-05,88800
Chinese,HLA-C,01:134,1.1261261261261261e-05,88800
Chinese,HLA-C,07:346,1.1261261261261261e-05,88800
Chinese,HLA-C,03:139,1.1261261261261261e-05,88800
Chinese,HLA-C,03:CAVNN,1.1261261261261261e-05,88800
Chinese,HLA-C,03:CAVNF,1.1261261261261261e-05,88800
Chinese,HLA-C,03:CEJXD,1.1261261261261261e-05,88800
Chinese,HLA-C,14:24,1.1261261261261261e-05,88800
Chinese,HLA-C,07:465,1.1261261261261261e-05,88800
Chinese,HLA-C,04:10,1.1261261261261261e-05,88800
Chinese,HLA-C,07:26,1.1261261261261261e-05,88800
Chinese,HLA-C,15:79,1.1261261261261261e-05,88800
Chinese,HLA-C,07:66,1.1261261261261261e-05,88800
Chinese,HLA-C,07:15,1.1261261261261261e-05,88800
