sample_id,cluster,pc1,pc2
BMDP_OUT_10642,Cluster_1,1.516723408187223,0.257617190371164
BMDP_OUT_10643,Cluster_1,0.37829199109287953,0.5950134056577204
BMDP_OUT_10644,Cluster_3,-0.015626965093096606,-0.5579997017647376
BMDP_OUT_10645,Cluster_2,-0.35507285302134317,0.3642539621547379
BMDP_OUT_10646,Cluster_3,0.5801361324732432,-0.0570246995978747
BMDP_OUT_10647,Cluster_1,0.6335898001212609,-0.07976522896097332
BMDP_OUT_1066,Cluster_3,0.02477723881295746,-0.4483641617071361
BMDP_OUT_1067,Cluster_3,0.11115431637685083,-0.5320233755562976
BMDP_OUT_1068,Cluster_2,-0.2692320669786775,0.289954676255446
BMDP_OUT_10683,Cluster_1,1.7779071544235459,0.5625638072077805
BMDP_OUT_10689,Cluster_2,-1.0845557885782637,0.6274020272870473
BMDP_OUT_1069,Cluster_3,-0.41071261744501153,-0.20202620222740242
BMDP_OUT_1070,Cluster_1,1.1631035166043755,0.5229038330358884
BMDP_OUT_10703,Cluster_1,0.634485269396329,-0.2406559061682464
BMDP_OUT_10704,Cluster_1,1.2628347381121228,0.13694554398243236
BMDP_OUT_10708,Cluster_1,0.7624912556798389,-0.29426360369741245
BMDP_OUT_10709,Cluster_1,0.6281181062982557,-0.1520973793623775
BMDP_OUT_1071,Cluster_2,-1.099733366869766,0.9392637890037022
BMDP_OUT_1072,Cluster_3,-0.009544084813444959,-0.5739787612142421
BMDP_OUT_10720,Cluster_3,-0.39656071767439416,-0.3315033173099358
BMDP_OUT_1073,Cluster_1,1.033361451332621,0.3234379965618911
BMDP_OUT_1074,Cluster_1,0.46100764225184077,0.2660514038547964
BMDP_OUT_1075,Cluster_2,-0.4031232730328317,0.27089094049373885
BMDP_OUT_1076,Cluster_3,-0.13340106550571532,-0.7020513556462294
BMDP_OUT_11085,Cluster_1,0.7865186138283637,-0.24527167743918676
BMDP_OUT_11086,Cluster_2,-0.7700286862199409,0.6677525728573945
BMDP_OUT_11087,Cluster_1,0.8881244252754248,-0.2617853674921029
BMDP_OUT_11088,Cluster_3,0.042725605273167086,-0.21227735044860546
BMDP_OUT_11089,Cluster_3,-0.6503614041013788,-1.439568985588692
BMDP_OUT_11090,Cluster_2,-1.1987527514409946,0.8762339457459875
BMDP_OUT_11091,Cluster_2,-1.3450479818487624,-0.25848792610054216
BMDP_OUT_11092,Cluster_2,-0.9826275314235595,0.7824785331730869
BMDP_OUT_11093,Cluster_1,1.1763500509259832,0.3399449893907157
BMDP_OUT_11095,Cluster_1,0.0041373640307515724,-0.1925329082846154
BMDP_OUT_11096,Cluster_3,0.07443649446604528,-0.3971127856159456
BMDP_OUT_11097,Cluster_3,-0.29843820685147304,-1.1588695353527299
BMDP_OUT_11098,Cluster_3,0.26620900124447244,-0.5783654563220995
BMDP_OUT_11099,Cluster_2,-1.1315674659912625,0.42142517395783863
BMDP_OUT_11100,Cluster_2,-0.10577199058750406,1.0829168904121873
BMDP_OUT_11101,Cluster_1,0.7191895088652462,-0.11833477991597946
BMDP_OUT_11102,Cluster_2,-1.0464476025461684,-0.24935610786152523
BMDP_OUT_11103,Cluster_1,0.8127723400730436,-0.01143410732585251
BMDP_OUT_11104,Cluster_3,-0.407964107388471,-0.827783694742492
BMDP_OUT_11105,Cluster_3,-0.06354059592385125,-0.975907104558095
BMDP_OUT_11106,Cluster_1,1.0475493718783195,0.0909198165105362
BMDP_OUT_11181,Cluster_2,-0.15955179938861844,1.2793870819211504
BMDP_OUT_11298,Cluster_3,-0.19299196354031192,-1.0542425309257886
BMDP_OUT_11299,Cluster_3,-0.09194267496280495,-0.5831328790592506
BMDP_OUT_113,Cluster_2,-1.283753486230258,1.2828349027153472
BMDP_OUT_11300,Cluster_2,-1.096743028524718,0.5968650364271457
BMDP_OUT_11301,Cluster_2,-1.0788577184924129,0.27763777989909477
BMDP_OUT_11303,Cluster_3,0.13708812456869696,-0.5394119734932978
BMDP_OUT_11304,Cluster_3,-0.46449596583218633,-1.2389735264866553
BMDP_OUT_11305,Cluster_2,-1.0785051124093008,1.0592531718196312
BMDP_OUT_11306,Cluster_2,0.04590419893941683,0.6023975601389874
BMDP_OUT_11307,Cluster_3,-0.10094148262513256,-0.8495384597305883
BMDP_OUT_11308,Cluster_2,-0.6345010688115322,0.11584797553084404
BMDP_OUT_11309,Cluster_2,-0.5089773790030465,0.4572201946538287
BMDP_OUT_11310,Cluster_3,-0.16462606479701783,-0.6295546822050629
BMDP_OUT_11311,Cluster_3,0.3062571210277424,-0.3694324355925245
BMDP_OUT_11312,Cluster_1,0.873610816855646,0.7761621597358801
BMDP_OUT_11313,Cluster_2,-0.6425298073594284,1.1943557115588845
BMDP_OUT_11314,Cluster_3,0.08777196805576626,-0.4308840089082382
BMDP_OUT_11749,Cluster_3,-0.165590650330416,-0.5321577884094404
BMDP_OUT_11750,Cluster_3,0.2815012784124409,-0.5986326405662012
BMDP_OUT_11751,Cluster_3,-0.7572923308091573,-0.5101643966866855
BMDP_OUT_11752,Cluster_2,-0.7881483884518953,0.20010362002739557
